code,title,description
estimatedValue,,
tendererCurrentOffer,,
tendererLowestOffer,,
tendrerHighestOffer,,
currentLowestOffer,,
currentHighestOffer,,
initialLowestOffer,,
initialHighestOffer,,
groupWinningOffer,,
